timestamp,open,high,low,close,volume
2026-05-20 20:00:00+00:00,52.927,53.243,51.641,51.901,464619.35
2026-05-20 21:00:00+00:00,51.901,53.045,51.687,52.898,337452.51
2026-05-20 22:00:00+00:00,52.898,54.491,52.584,54.166,991239.27
2026-05-20 23:00:00+00:00,54.166,54.903,53.679,54.813,450126.59
2026-05-21 00:00:00+00:00,54.813,56.69,54.699,56.36,1102491.84
2026-05-21 01:00:00+00:00,56.36,57.125,55.887,56.364,829819.83
2026-05-21 02:00:00+00:00,56.364,56.493,55.326,55.846,592640.81
2026-05-21 03:00:00+00:00,55.846,56.894,55.545,56.75,331059.82
2026-05-21 04:00:00+00:00,56.75,56.822,55.893,55.967,313456.27
2026-05-21 05:00:00+00:00,55.967,56.453,55.73,56.255,279914.01
2026-05-21 06:00:00+00:00,56.255,56.923,56.055,56.499,354429.36
2026-05-21 07:00:00+00:00,56.499,58.54,56.457,58.369,886756.33
2026-05-21 08:00:00+00:00,58.369,58.924,58.13,58.531,774482.71
2026-05-21 09:00:00+00:00,58.531,59.289,57.446,57.874,881083.84
2026-05-21 10:00:00+00:00,57.874,58.628,57.239,57.447,870728.09
2026-05-21 11:00:00+00:00,57.447,57.717,56.712,57.168,668115.6
2026-05-21 12:00:00+00:00,57.168,58.012,56.75,57.718,542296.13
2026-05-21 13:00:00+00:00,57.718,59.78,57.558,59.369,1577082.78
2026-05-21 14:00:00+00:00,59.369,62.257,58.812,60.9,2629304.74
2026-05-21 15:00:00+00:00,60.9,62.64,60.501,61.12,1652765.74
2026-05-21 16:00:00+00:00,61.12,61.155,58.613,58.697,1081368.3
2026-05-21 17:00:00+00:00,58.697,60.318,58.652,58.726,918824.6
2026-05-21 18:00:00+00:00,58.726,59.47,58.341,58.52,573716.17
2026-05-21 19:00:00+00:00,58.52,58.855,57.288,57.821,835115.71
2026-05-21 20:00:00+00:00,57.821,58.767,56.212,57.905,1650624.19
2026-05-21 21:00:00+00:00,57.905,58.285,57.215,57.939,565566.27
2026-05-21 22:00:00+00:00,57.939,58.534,57.8,58.486,247104.76
2026-05-21 23:00:00+00:00,58.486,59.139,58.256,58.587,531730.41
